Категория,Значение
B,548754.6963224338
C,227946.21218405754
C,748490.4778340858
A,836500.7614467838
D,904495.1037610393
B,849829.8247351889
C,963088.1327255279
D,639308.8402101991
C,69081.02432802354
A,976058.0935839626
D,330563.9639346597
A,225632.72491631182
B,625332.1660033887
C,277230.50889887614
A,460091.9074178272
C,644513.2540377344
B,902691.0045773665
C,770435.4466294736
B,442285.25550378725
D,303559.92410445167
A,285117.7298508517
C,621199.2781938951
B,207050.28934310775
D,2145.324890106548
D,251262.2371173584
C,552855.0822485313
B,376495.7968828745
B,735122.2657759975
B,728020.8395730425
B,868043.6112674695
D,968223.8449607865
B,431786.07208757044
A,626384.7131691359
C,618252.3667147137
A,200860.27981148614
C,769141.2421165119
C,760753.3240234691
B,452337.859956141
B,359244.92472197453
C,479726.86957130826
B,524155.27774784155
C,491597.5029780122
D,218691.97341923675
C,276171.3504790699
D,661637.0922779881
B,675099.9633220347
D,5735.203608204453
C,565067.0084627137
B,321153.4798765167
B,264667.6729020266
B,424149.0687490781
C,588145.5846157181
B,740639.6967781498
A,446930.37132076
B,201251.89333899406
D,966604.4584606936
B,599964.5820409186
B,740535.4759604351
B,645712.1267794197
D,976810.5878752257
C,325291.0738045611
C,120509.36052381578
D,283295.89199578366
A,717267.6811243941
D,307440.7125861706
A,359933.07810362417
A,35008.44107607748
B,627147.3211453366
D,643152.9950935581
D,453738.102815068
B,566639.6150071368
D,312630.8264587898
C,631270.1981839573
C,986759.718458177
A,968792.2203443183
A,147990.01025086656
D,82385.7486436379
D,643511.8847345191
C,90642.95259454091
C,920627.7436842896
B,644820.3809614431
C,366590.45537257276
A,566140.0949183141
B,104518.44707628188
B,978904.8218103164
B,435301.8413930928
B,650823.4974942823
D,644781.6317443461
B,774572.9253731967
D,292058.38075477787
C,607071.7738796407
D,396682.6099818482
C,494874.6973498683
D,319789.50049003784
C,937716.1423861985
D,168270.30769731398
C,871879.253144688
B,312104.9756805042
B,498593.94092511677
A,69692.8926830257
B,309991.6167185983
D,820829.8841204968
A,302013.4713019041
B,457269.05245463876
D,136786.46280065388
B,526313.2291538682
C,900728.7127427431
D,52369.278059887336
B,883750.7635504664
C,988698.0569675983
C,223541.11307880553
B,202188.29297027018
B,733042.911702485
D,631776.2788325573
C,732871.6364611109
B,119085.94684033113
D,561894.0197640664
D,747338.3569154107
D,177326.07139719048
A,298516.91073402367
B,372297.46107430593
A,459325.71985069226
C,617391.4459343569
C,611380.8178317769
C,392091.85619061004
B,272629.0709111496
D,778312.2574327282
C,988640.0980471418
C,705659.9144251789
A,894113.8727395618
D,772249.4775579774
B,613286.3613698713
D,263296.58058401593
C,850231.6743081297
B,378486.0830366753
B,962229.67188659
D,912401.0744990563
A,413930.59538574726
C,715595.1868207665
A,478501.13025495934
C,642045.8713194076
A,290781.83233064093
D,715577.2615096059
C,222480.26741088135
D,63731.997128254945
A,118038.331745569
D,144364.76844579104
A,276255.40935641713
B,806432.6244755522
B,568639.4915439535
C,466530.4837536334
C,624123.4441602571
C,809703.8140538919
B,708893.2418203612
A,788792.3609419467
B,435493.3321313663
B,61.907401971206255
A,709879.9824857102
C,777887.2423966273
D,99289.33275125729
B,998677.0736818592
D,56025.76891644029
D,956841.0837102844
D,58589.58223841182
D,297363.26503383816
A,314496.25877222564
D,265275.7033885781
D,186784.94429200777
C,778220.6778571255
C,791826.1929188911
C,760562.7769791996
B,588106.2314915566
C,249929.07554814103
A,525672.8553171431
D,583866.7828979933
A,166448.05397010964
A,853261.5300958386
A,445139.683794085
C,931517.1274574385
C,365124.64547277754
B,192984.9494460798
B,566745.9120817931
A,486256.99541596865
B,438969.97327664454
C,847034.7403768835
D,984592.5784412889
C,525899.927365993
A,499424.61057246546
C,504156.9981689331
C,172191.12201949183
D,133730.0399182174
A,923589.0122390533
B,897636.4831817851
C,429831.5822796054
B,217964.69954423825
C,369149.52218577435
C,448887.2384649754
C,768560.8142338529
D,260486.25115047285
C,328879.4307235895
C,383815.2877511795
D,721937.1970320191
A,136426.62462634002
D,630287.2112079918
D,213264.54037561093
C,29349.306824673404
D,478775.47281631647
C,759949.1480622243
A,673046.2810474087
A,46941.65907191572
B,974984.5882476148
C,129539.89340455286
C,920084.3563099283
B,34021.262738149206
A,186574.25061615495
B,422796.1238265994
C,388321.15676061227
A,889231.9822360217
B,442494.2134677838
D,411722.13247460657
B,898862.9542084528
B,768317.1847746769
D,901509.7431136308
C,710306.1961209978
C,277102.93213045155
A,817954.6252079151
D,173054.9515108264
B,608400.8859536623
D,288545.88206334854
A,500165.43609659944
C,396303.9676613109
A,266927.70259340195
A,647019.5801182155
C,543831.3631771987
C,486668.66381648433
A,803967.726497354
B,153311.48632453018
C,125612.95507867687
C,902982.2187524566
A,134399.26135337332
B,230555.21390502076
D,762603.0794906369
B,191134.98900768068
D,892365.9258917519
D,800865.1607307998
D,13065.145249360643
A,662252.688830025
B,934396.6841760341
A,803134.8368772671
C,494848.7020217348
B,698858.116538929
A,666149.4399596271
D,794383.1718051216
A,618722.4329647517
D,43472.646511458544
A,602272.4753932032
D,263798.7017844138
D,758053.0923702398
B,387099.1208542849
D,376870.5223654907
C,773001.2771861234
A,599714.8294164242
C,351400.5629698875
B,656917.3148158245
A,1265.8214856611228
A,699675.4310635395
A,922476.9636143276
B,552231.7330185985
A,813851.7848385074
A,552428.9603475467
B,445864.6167999835
C,265352.9549335871
C,606510.1698474797
C,327226.504320825
C,535829.0627966772
D,925464.0426050692
D,412435.73058204167
B,305417.0683005158
C,774440.3327433944
D,85961.33725366795
D,468815.5620282567
D,39290.59776257482
C,712953.4027937074
B,248218.34929528774
B,797111.2945771408
A,804845.3168784247
C,950217.637890025
B,167448.09546205285
A,680130.2488903512
B,212197.8027113952
A,854536.4829174536
B,392289.2547496424
D,601574.9919613085
C,774131.3086925098
B,233925.8414012766
A,91595.90239436699
A,925236.1846390079
B,592628.9372998861
D,238412.20821577613
A,569089.0682290682
A,737473.0154324019
C,819654.3217251535
D,652039.8643480622
D,749474.5245740209
D,141709.59448230913
B,423025.05552251247
D,394788.34225854353
B,700277.204945858
D,985562.4062696
C,99383.37016605325
