Категория,Значение
B,588513.0328852228
B,752462.893131974
B,710494.3124546974
D,304311.06847815815
C,633424.2550229048
D,477716.02677050495
D,537036.0915938256
C,879486.1020217991
B,60288.30615095782
C,788576.8832766571
D,564617.7276074294
D,361220.3497199462
D,243524.1291119883
C,765668.7369196701
D,515001.2413847872
D,636959.9385656192
B,561474.3796469037
C,157077.3066744473
D,901191.3820717804
A,174049.29799340208
D,203215.31025099603
B,309078.16331534
C,306892.22170206177
D,713413.9022548154
A,826068.501349492
D,530995.7319865811
B,53796.966689345085
D,758041.0619047364
C,527650.0026894661
B,42894.014811372785
B,577899.1991062803
B,468725.916873535
A,943048.5365374044
B,177183.86515294836
D,454769.76784878323
D,781272.3907507819
D,875518.1108247796
D,163803.8758813396
A,812774.2499626422
D,78469.1342009487
D,893222.2407971214
D,237874.3038158383
A,78067.28676176489
A,280896.45732931956
B,554830.1993314917
C,802397.5913510924
B,493974.76057679637
A,277499.16149720544
D,659367.4839596702
C,363372.6205947055
C,844292.1401377305
C,279623.81653513777
B,198442.6466761372
C,238016.0260237486
B,740079.9766837286
C,451947.9383280385
A,659583.1600504172
C,362806.27662354626
C,897693.7971129027
C,768891.2306221679
B,696896.1258463955
B,928803.7729129582
B,32176.532594487493
C,993554.5022523772
A,744932.3756396399
C,624949.5558273933
D,877359.5943702152
D,899769.7492941036
A,841691.6557872529
D,458552.4702170989
A,784436.4227203535
C,48496.21696387363
C,420953.40333862294
D,8154.7403982632495
D,52452.603778377124
C,70695.2405148319
D,353344.3956315029
D,303512.1118177121
A,205236.87466255313
D,312227.94203323266
A,668925.8272825778
D,412077.3905329698
D,152196.77451267856
B,296877.1486449554
C,223684.61493093305
C,948824.9082976498
C,38845.603634588224
C,277595.4758885406
B,195170.88132579753
B,668186.0581129238
D,527281.2794369371
A,514618.7797474291
A,518978.7969185492
D,260939.44718167995
D,750585.4311046534
D,776932.5403465438
D,888562.9096217676
D,431876.23193447577
A,634165.4060868722
A,771981.5785469337
C,515396.565911603
C,318047.0221729907
D,165567.9545225809
C,389090.6527217024
A,309989.8732106762
B,270823.44302937435
D,759123.8199222661
B,843982.7259139142
B,13271.488704669764
A,892906.8184217962
B,395787.44327893446
D,89036.91415715731
C,438039.81640610367
B,916782.9424936082
A,70537.59081854305
D,760790.7572010009
B,413064.7483896648
B,833688.5795147723
D,419107.88897120755
A,464549.97147409315
B,600554.7335378304
D,496273.9154826106
A,650673.3875288327
D,983642.9097516448
A,977191.1427036402
D,609144.9615999752
A,957950.7292081562
A,967697.5087030281
D,359961.8416422349
C,825050.6361067594
C,314587.75944844086
B,889324.7188338902
D,434876.361579801
A,336921.95692677965
C,11661.047641787658
B,923751.7160635445
B,183432.23473631887
A,795004.3018695158
C,791771.3427659448
B,687692.9103785896
C,289004.29320665513
A,213865.0163922152
D,336359.321848974
A,238394.1404795502
B,816135.3851407504
B,925133.0163936849
D,774981.7005459912
D,992441.1881302078
D,839725.6327865584
D,782100.4545481645
B,916202.4758889093
D,841357.8881435922
C,723373.5162793716
C,208817.22522791292
D,176368.72128445635
A,95850.42677269418
C,384948.03069729323
