Категория,Значение
B,122979.96247116494
A,375517.91610745655
B,827291.3929441047
A,798250.9381552568
C,805827.5100557647
A,890449.4973017474
D,121540.72633448099
B,260794.40229818184
D,778696.016082941
D,339440.3594194957
A,124819.47137133598
D,174573.51295626
D,948681.2043273395
A,81430.3044923167
B,545570.2371813142
A,692936.453408234
D,433887.39433696656
C,125129.89881980863
C,667169.6663142929
A,286950.25229447766
C,367997.21684710286
D,554499.9259580612
C,582640.2003934773
A,359480.5864920537
B,993153.8930821071
A,333994.43706753897
A,405734.4533850986
C,430176.1370488182
A,235720.7213765863
B,884615.2443929026
A,431474.6846989279
D,546406.6865981668
D,136069.4543544101
D,597849.3547641947
D,39509.40923936785
C,909199.7797238065
C,298387.9262425473
C,423986.62596216064
B,769478.2879395213
B,704335.2268576926
B,822433.677441876
A,630931.2544173688
B,825902.1406366653
C,630039.4786629336
A,388984.5994931055
D,71982.22635395658
B,639948.7395283799
B,127469.12293202129
D,473356.37509232207
C,12992.412404258968
B,177182.98841667178
B,69209.56557320357
B,354389.14174168435
B,298983.09533888754
C,48464.30785602474
D,659160.4586209309
B,970374.5054990633
A,715076.0768721241
A,323574.14239567885
C,574421.1877771153
B,41975.60398215938
D,933667.7907785326
B,336935.8900357904
A,350896.28955276875
B,51007.47872803602
D,218917.73408788472
D,598299.6109434607
A,582870.6129261116
B,155494.09263522763
D,483584.28416063526
C,960020.0053313167
D,21721.546032763774
C,636123.5341507597
C,11841.701195268062
B,124348.1272450121
A,204045.55345915476
C,243123.60440657398
D,625781.4394778252
A,304895.3659687611
D,283957.92710900423
A,973930.0998214802
C,342887.7595139781
C,522918.58042730135
A,203691.11624411328
A,317080.79491139663
A,106961.91200307992
D,189558.90239597994
C,209037.81371955888
C,992967.5103117678
C,713614.7001112729
D,966479.5837679369
B,426972.4237158822
C,781160.3740751325
D,421963.88403830334
A,188244.25754281203
B,732373.1020731252
D,984065.6289513191
D,741435.4413737945
B,804098.0797063571
A,487305.04086916347
D,495641.2822069597
A,678314.167456593
D,713407.6799976556
C,599371.9996003566
C,551815.2388541918
B,186318.6666380362
C,830807.90306535
A,263339.1639469233
B,132292.95335597568
D,912905.8054825054
A,744708.6109325963
A,142425.89981647147
B,993356.1487840686
D,80425.9480664119
B,295782.54771262757
B,454879.6170656103
A,34781.099899033885
B,350993.57386539865
D,293555.5488424506
D,643689.1758910322
A,149423.20455005043
A,536553.7748225651
C,754201.6023531972
