Категория,Значение
D,885132.7914639435
C,345588.92274516297
C,246718.2786194282
C,365529.369172337
C,182359.41160098888
A,748423.4452562653
B,238521.1007493342
C,600023.5710943548
A,855953.4453347316
D,727471.0161657103
C,898827.7833472639
C,647611.0914321676
B,66066.16263689246
C,776379.6382741919
B,862142.0683871272
C,472662.63701493904
D,676357.5709344791
C,25899.702582574013
D,778854.0303822692
B,689961.8632275643
B,713923.9496910442
A,116624.74418254898
B,840103.8003346425
B,309851.0742234749
D,838229.2647955472
D,163312.239850818
C,801733.6282818122
A,963245.6638753184
B,483012.406412774
B,779035.2098625071
B,520340.29057845543
D,73826.90197271213
C,414503.09190375847
C,971946.5942100104
B,444090.9204509078
B,851672.5457971693
B,745941.3464593422
B,807409.8945975109
C,353220.1730946936
B,6273.392834997727
A,452087.78067767265
D,917960.3785986416
C,102182.35454574054
C,333944.65434340184
B,517124.369197684
B,120135.36824851845
A,654702.8317922555
D,153433.0148023284
B,581512.1808788652
B,844014.4708048081
A,624013.2299441725
B,218664.91066263727
D,742725.4848616349
B,326296.75545914937
B,260697.18853574008
C,153497.62397409373
D,335530.40708409756
D,721423.3481001838
C,253758.91103145643
B,262392.0486279189
D,623561.6291911063
C,713511.0660828879
C,541461.2009171401
A,134666.43705917947
C,79113.33065731973
C,705106.6474694335
B,305988.5307721801
D,365269.63799199543
D,922436.006462591
A,667084.676894498
C,186556.82180078936
D,902666.3970278712
A,697739.4425476602
D,68251.13858330944
B,849638.1067951499
B,188201.94522838306
D,173922.47943711304
A,967579.7837374846
C,815635.4834521459
A,479295.8363828317
C,471137.76245688467
C,157684.17072293162
D,451174.8754425543
D,429774.1986647096
D,998336.9259197145
A,412654.2819925799
C,343657.15519784257
B,204893.01445364428
C,20775.78570641059
C,921732.3842856892
C,938015.7657412472
C,773663.1359055701
C,715496.0226735632
D,70360.14276523594
B,697292.7644960346
B,484396.56763226504
A,574474.1662203199
C,200004.20348365
C,806354.6431815957
C,774329.0095734635
A,242645.12898077507
D,723182.4863626284
B,451002.4610121903
B,473978.583225217
A,948373.650422079
B,663849.2520346869
B,480424.43057840015
D,493122.08949064894
B,614741.073606918
B,728981.4126582633
C,456815.04527064064
A,733345.7694398164
D,156029.15637336744
A,975406.672921297
A,834324.285661037
C,185203.55977487558
A,318027.33080479264
D,795213.9971628884
C,120641.0463382327
B,149895.14283990546
A,880397.4787739704
B,598052.4391416326
B,609330.4026545787
B,832478.0778704303
C,616621.9666818868
A,244327.89698953973
C,75993.34640399835
D,851014.7201248796
D,866430.5015102478
D,705708.6953956803
A,971672.723076143
C,842873.8670921423
C,166245.76451211714
A,332432.3303351442
B,575707.433213753
C,47076.67395873549
C,975855.1780144258
D,135255.23499678893
D,851313.4937781285
A,998158.7759343274
A,579020.7871219948
A,929348.6436663097
D,879630.5616887887
A,554942.5940402078
A,409372.0690902336
C,36032.83025057957
C,240169.94752236354
C,971709.0619084174
D,872224.7840744079
C,594948.2479251131
B,662923.837250363
B,361098.2801793292
C,913764.1416837316
D,808151.9276743163
C,478125.2421641382
A,209875.08460313754
B,407656.0113422711
B,217795.1446837194
D,127984.57188994427
D,7090.094616620912
B,41637.64898140976
C,42699.402669541196
D,376296.0563937485
B,103542.98447387811
A,998280.4436534668
A,304217.1341049296
D,639961.7615915702
D,548502.87524676
B,852677.302900356
D,807459.42652646
C,57343.25104673832
A,347105.0055334442
A,808309.4303830154
D,167318.010670081
B,926551.4334919711
B,144016.557964607
C,500382.16035167006
A,144142.3452820977
B,545741.3418034716
A,371612.5199321123
A,878202.9080105692
B,971473.8566668727
B,579197.8462340513
D,554649.4778724716
C,438411.80013222113
A,514140.1651776218
D,771973.4667329158
A,908865.7334397088
D,663953.2861943742
C,68552.3896008604
C,224038.48086985855
B,900270.8737101168
B,942547.1369175301
B,69231.13486572252
D,374702.4015742988
D,773971.650467181
A,645752.0439514044
B,438591.5978952177
C,70786.95957950187
B,611072.1622056592
C,782614.2499217314
D,149980.58911929847
C,918028.4920955747
D,676169.7419137956
A,578464.3551543265
D,785547.4216007612
D,5018.867335739307
C,413869.5572638685
A,608993.6345977646
A,203466.53052926555
B,164268.87245099654
B,581464.5914535172
A,146849.1270790542
C,623103.0393337897
C,360489.9517305567
A,923541.6387790815
C,269020.87093892734
C,165954.2837771344
B,222308.44551080774
B,268056.08761485957
C,59446.51287756852
C,759924.9435901488
D,695967.5453314842
B,401943.82344748214
C,965703.1081709146
A,474390.2945200502
B,323960.83511597774
B,965374.424778312
C,170222.93665604715
A,431419.29367198993
B,139277.3192702842
A,23390.326532084062
D,506814.2279096316
B,775494.4948002859
C,15388.994630305851
B,33708.926251000856
B,173106.118617665
C,525944.0546932911
A,662904.3998196841
B,973877.5241904275
C,36695.56480624314
D,702884.8288040062
B,667168.0095539821
C,546876.9254096963
D,560002.5675080967
D,28407.430243872488
C,547431.0680518042
C,357285.30158639915
C,827772.4760352812
A,27129.928449682982
D,966404.0017207196
B,788524.8087715742
C,44595.97692506101
D,235003.2316050613
C,281559.5190226414
D,636929.5962909363
B,837715.8891814512
C,264109.8183966143
A,118330.09089358448
C,348889.7361240005
C,960737.0717175364
A,666065.7613384807
B,349133.2996667016
B,215137.08394221799
C,394042.1673783045
D,979160.9867548674
C,201460.0969225484
A,804877.8376155215
B,770407.9960071016
D,284591.3516660578
A,157600.20069334735
A,48952.95883894202
D,288497.7059012526
A,611879.6036740778
B,192636.7298834546
B,468343.4281901497
A,316174.16627636686
C,235376.97493634713
B,760188.3085791522
B,200471.66807857552
D,223785.84118564092
A,45990.755182799716
A,816789.9287941704
A,667567.5959643951
B,649623.1506903238
D,912375.005434667
C,918133.5979259721
B,924940.5335856446
D,883663.086245804
C,121960.44666724103
B,65681.7453970564
D,141422.27004184492
A,405062.29357736214
B,585570.8693112446
D,518765.31854494737
C,224764.4864869508
A,709343.3619651266
A,732491.339594715
C,250099.47015597412
C,22296.48825904196
B,157561.35026750085
D,849938.0535398404
B,527464.4324024852
B,993734.0445065855
D,530149.1204842605
C,815565.6427745837
A,952701.2114973248
B,360273.0045182324
C,692182.1156594744
C,82200.47425489752
D,635167.8998535607
B,785175.0811210233
D,822308.0829463521
B,871122.0439495307
D,191998.82400361533
B,979558.4666279202
A,121018.36716328129
D,599017.0010261042
D,326310.06583930977
D,267978.7086873083
A,560285.980803814
C,10418.52564435719
B,73225.13198758474
D,750925.4146365969
B,87557.77086059735
B,980049.1423879568
A,390305.7067528909
B,613676.6944022265
A,346844.03563553543
B,898084.3549141338
A,50296.932724584905
B,334214.9409388141
C,699252.7611383457
C,618402.6911268934
D,941242.2951662622
A,7897.509335282327
A,626934.8883177256
D,912574.2193914173
A,903383.4264990453
B,490150.6197832195
D,91807.17426881635
D,484750.99093787
D,931817.6585601602
A,448425.47240471386
C,796426.067353443
D,235037.05116424646
C,625165.4602939738
D,926847.7527186516
B,852188.6304696823
C,4907.556393891843
C,675634.9278491768
C,356733.1974427386
A,383723.7996402858
A,738945.6128554685
B,510140.30007080414
C,986453.2417336203
D,269336.4580504022
B,604646.0844365003
A,140109.7141787846
